sta,chan,net,loction,lat,lon,rate
BBGB,HHZ,NC,--,36.58,-121.04,100
BJOB,HNZ,NC,--,36.61,-121.31,100
BPRB,HNZ,NC,1,36.41,-121.73,100
BSG,HNZ,NC,1,36.41,-121.26,100
BSR,HNZ,NC,--,36.67,-121.52,100
CADB,HNZ,NC,--,37.16,-121.63,100
CAG,HNZ,NC,--,37.86,-122.42,100
CAL,HNZ,NC,--,37.45,-121.8,100
CAO,HNZ,NC,1,37.35,-121.53,100
CBP,HNZ,NC,--,37.75,-121.71,100
CBR,HNZ,NC,--,37.82,-122.06,100
CBSB,HNZ,NC,1,37.82,-121.64,100
CCOB,HNZ,NC,--,37.26,-121.67,100
CDOB,HNZ,NC,--,37.73,-121.83,100
CHR,HNZ,NC,--,37.37,-121.77,100
CLCB,HNZ,NC,--,37.74,-122.06,100
CMC,HNZ,NC,2,37.78,-122.18,100
CML,HNZ,NC,1,37.48,-121.65,100
CMLP,HNZ,NC,--,37.45,-121.83,100
CMM,HNZ,NC,--,37.46,-121.49,100
CMOB,HNZ,NC,--,37.81,-121.8,100
CMW,HHZ,NC,--,37.54,-121.89,200
CNI,HNZ,NC,--,37.61,-121.96,100
CPI,HNZ,NC,--,37.99,-122.22,100
CPM,HNZ,NC,--,37.95,-122.41,100
CRH,HNZ,NC,--,37.86,-121.99,100
CRPB,HNZ,NC,--,37.91,-121.91,100
CSL,HNZ,NC,--,37.72,-122.12,100
CSPB,HNZ,NC,--,37.96,-122.31,100
CTA,HNZ,NC,--,38.03,-122.02,100
CVL,HNZ,NC,--,37.62,-121.84,100
CYB,HNZ,NC,--,37.81,-122.36,100
CYD,HNZ,NC,--,37.56,-122.1,200
GAXB,HNZ,NC,--,38.71,-122.76,100
GCVB,HNZ,NC,--,38.77,-123.01,100
GDXB,HHZ,NC,--,38.81,-122.8,100
GMR,HNZ,NC,1,39.13,-123.47,100
GRT,HNZ,NC,1,38.94,-122.67,100
GWR,HNZ,NC,1,39.21,-123.3,100
HCBB,HNZ,NC,1,36.93,-121.66,100
HCRB,HNZ,NC,1,36.96,-121.58,100
HLP,HNZ,NC,--,37.04,-121.63,100
HMOB,HNZ,NC,--,36.6,-121.92,100
HTU,HNZ,NC,--,36.83,-121.64,100
JAR,HNZ,NC,--,36.99,-122.06,100
JBG,HNZ,NC,--,37.34,-122.34,100
JBMB,HNZ,NC,--,37.32,-122.15,100
JBNB,HNZ,NC,--,37.12,-122.16,100
JBR,HNZ,NC,--,37.17,-122.01,100
JCH,HNZ,NC,--,37.52,-122.38,100
JECB,HNZ,NC,--,37.05,-121.81,100
JELB,HNZ,NC,--,36.93,-121.83,100
JFP,HNZ,NC,--,37.36,-122.19,100
JGR,HNZ,NC,--,37.52,-122.46,100
JHU,HNZ,NC,--,37.21,-122.17,100
JJO,HNZ,NC,--,37.21,-121.98,100
JLAB,HNZ,NC,--,37.15,-121.73,100
JMGB,HNZ,NC,--,37.64,-122.47,100
JPC,HNZ,NC,--,37.27,-122.21,100
JPR,HNZ,NC,--,37.8,-122.48,100
JPSB,HNZ,NC,--,37.2,-122.35,100
JSA,HNZ,NC,--,37.58,-122.42,100
