net,sta,chan,location,lat,lon,rate
CI,LVY,HNZ,--,34.17,-119.16,100
CI,LYP,HHZ,--,32.7,-116.75,100
CI,LYP,HNZ,--,32.7,-116.75,100
CI,MAG,HNZ,--,35.36,-118.92,100
CI,MCT,HHZ,--,34.23,-116.04,100
CI,MCT,HNZ,--,34.23,-116.04,100
CI,MES,HNZ,--,34.26,-119.1,100
CI,MGE,HHZ,--,33.82,-116.37,100
CI,MGE,HNZ,--,33.82,-116.37,100
CI,MIKB,HNZ,--,34.14,-118.13,200
CI,MIS,HNZ,0,33.74,-118.34,100
CI,MLAC,HHZ,--,37.63,-118.84,100
CI,MLAC,HNZ,--,37.63,-118.84,100
CI,MLS,HHZ,--,34,-117.56,100
CI,MLS,HNZ,--,34,-117.56,100
CI,MMC,HNZ,--,33.57,-117.76,100
CI,MNO,HNZ,--,33.95,-117.17,100
CI,MOP,HHZ,--,34.28,-118.9,100
CI,MOP,HNZ,--,34.28,-118.9,100
CI,MOR,HNZ,--,33.5,-117.14,100
CI,MPI,HHZ,--,34.81,-119.15,100
CI,MPI,HNZ,--,34.81,-119.15,100
CI,MPM,HHZ,--,36.06,-117.49,100
CI,MPM,HNZ,--,36.06,-117.49,100
CI,MPP,HHZ,--,34.89,-119.81,100
CI,MPP,HNZ,--,34.89,-119.81,100
CI,MRS,HNZ,--,35.43,-116.89,100
CI,MSC,HHZ,--,34.04,-116.65,100
CI,MSC,HNZ,--,34.04,-116.65,100
CI,MSJ,HHZ,--,33.81,-116.97,100
CI,MSJ,HNZ,--,33.81,-116.97,100
CI,MTA,HNZ,--,33.43,-117.38,100
CI,MTG,HHZ,--,33.2,-116.65,100
CI,MTG,HNZ,--,33.2,-116.65,100
CI,MTP,HHZ,--,35.48,-115.55,100
CI,MTP,HNZ,--,35.48,-115.55,100
CI,MUR,HHZ,--,33.6,-117.2,100
CI,MUR,HNZ,--,33.6,-117.2,100
CI,MWC,HHZ,--,34.22,-118.06,100
CI,MWC,HNZ,--,34.22,-118.06,100
